idlezione	idfoglio	idclasse	inizio	fine	idrelazione
L0000005	F0000	C0034	0	0	-1
L0000006	F0000	C0008	0	0	-1
L0000008	F0000	C0011	0	0	-1
L0000009	F0000	C0001	0	0	-1
L0000010	F0000	C0022	0	0	-1
L0000011	F0000	C0049	0	0	-1
L0000012	F0000	C0006	0	0	-1
L0000013	F0000	C0105	0	0	-1
L0000022	F0000	C0008	0	0	-1
L0000023	F0000	C0042	0	0	-1
L0000024	F0000	C0018	0	0	-1
L0000025	F0000	C0006	0	0	-1
L0000026	F0000	C0010	0	0	-1
L0000032	F0000	C0000	0	0	-1
L0000036	F0000	C0014	0	0	-1
L0000037	F0000	C0032	0	0	-1
L0000038	F0000	C0031	0	0	-1
L0000039	F0000	C0102	0	0	-1
L0000042	F0000	C0032	0	0	-1
L0000043	F0000	C0037	0	0	-1
L0000044	F0000	C0031	0	0	-1
L0000045	F0000	C0099	0	1	-1
L0000046	F0000	C0022	0	0	-1
L0000047	F0000	C0040	0	0	-1
L0000054	F0000	C0010	0	0	-1
L0000055	F0000	C0011	0	0	-1
L0000056	F0000	C0008	0	0	-1
L0000062	F0000	C0043	0	0	-1
L0000063	F0000	C0029	0	0	-1
L0000064	F0000	C0023	0	0	-1
L0000075	F0000	C0049	0	0	-1
L0000076	F0000	C0012	0	0	-1
L0000079	F0000	C0031	0	0	-1
L0000080	F0000	C0001	0	1	-1
L0000083	F0000	C0046	0	0	-1
L0000084	F0000	C0005	0	0	-1
L0000085	F0000	C0023	0	1	-1
L0000086	F0000	C0009	0	1	-1
L0000087	F0000	C0013	0	0	-1
L0000089	F0000	C0045	0	0	-1
L0000090	F0000	C0038	0	0	-1
L0000091	F0000	C0040	0	0	-1
L0000097	F0000	C0049	0	0	-1
L0000098	F0000	C0047	0	0	-1
L0000109	F0000	C0049	0	0	-1
L0000110	F0000	C0010	0	0	-1
L0000116	F0000	C0013	0	0	-1
L0000118	F0000	C0031	0	0	-1
L0000119	F0000	C0109	0	0	-1
L0000120	F0000	C0002	0	1	-1
L0000121	F0000	C0099	0	0	-1
L0000122	F0000	C0016	0	0	-1
L0000123	F0000	C0003	0	0	-1
L0000125	F0000	C0023	0	1	-1
L0000126	F0000	C0018	0	0	-1
L0000127	F0000	C0004	0	0	-1
L0000128	F0000	C0010	0	0	-1
L0000135	F0000	C0004	0	1	-1
L0000139	F0000	C0036	0	0	-1
L0000140	F0000	C0009	0	0	-1
L0000142	F0000	C0030	0	0	-1
L0000149	F0000	C0005	0	0	-1
L0000150	F0000	C0024	0	0	-1
L0000151	F0000	C0008	0	0	-1
L0000153	F0000	C0049	0	1	-1
L0000154	F0000	C0100	0	0	-1
L0000155	F0000	C0029	0	0	-1
L0000156	F0000	C0007	0	0	-1
L0000157	F0000	C0003	0	1	-1
L0000158	F0000	C0008	0	1	-1
L0000164	F0000	C0023	0	0	-1
L0000171	F0000	C0025	0	0	-1
L0000172	F0000	C0082	0	0	-1
