idfoglio	idaula	idistanzaaula	nomeistanzaaula
F0000	A0065	I0000	DISPOSIZIONE-01
F0000	A0065	I0001	DISPOSIZIONE-02
F0000	A0065	I0002	DISPOSIZIONE-03
F0000	A0065	I0003	DISPOSIZIONE-04
F0000	A0065	I0004	DISPOSIZIONE-05
F0000	A0065	I0005	DISPOSIZIONE-06
F0000	A0065	I0006	DISPOSIZIONE-07
F0000	A0065	I0007	DISPOSIZIONE-08
F0000	A0065	I0008	DISPOSIZIONE-09
F0000	A0065	I0009	DISPOSIZIONE-10
F0000	A0065	I0010	DISPOSIZIONE-11
F0000	A0065	I0011	DISPOSIZIONE-12
F0000	A0065	I0012	DISPOSIZIONE-13
F0000	A0065	I0013	DISPOSIZIONE-14
F0000	A0065	I0014	DISPOSIZIONE-15
F0000	A0065	I0015	DISPOSIZIONE-16
F0000	A0065	I0016	DISPOSIZIONE-17
F0000	A0065	I0017	DISPOSIZIONE-18
F0000	A0065	I0018	DISPOSIZIONE-19
F0000	A0065	I0019	DISPOSIZIONE-20
F0000	A0065	I0020	DISPOSIZIONE-21
F0000	A0065	I0021	DISPOSIZIONE-22
F0000	A0065	I0022	DISPOSIZIONE-23
F0000	A0065	I0023	DISPOSIZIONE-24
F0000	A0065	I0024	DISPOSIZIONE-25
F0000	A0065	I0025	DISPOSIZIONE-26
F0000	A0065	I0026	DISPOSIZIONE-27
F0000	A0065	I0027	DISPOSIZIONE-28
F0000	A0065	I0028	DISPOSIZIONE-29
F0000	A0065	I0029	DISPOSIZIONE-30
F0000	A0065	I0030	DISPOSIZIONE-31
F0000	A0065	I0031	DISPOSIZIONE-32
F0000	A0065	I0032	DISPOSIZIONE-33
F0000	A0065	I0033	DISPOSIZIONE-34
F0000	A0065	I0034	DISPOSIZIONE-35
F0000	A0065	I0035	DISPOSIZIONE-36
F0000	A0065	I0036	DISPOSIZIONE-37
F0000	A0065	I0037	DISPOSIZIONE-38
F0000	A0065	I0038	DISPOSIZIONE-39
F0000	A0065	I0039	DISPOSIZIONE-40
F0000	A0065	I0040	DISPOSIZIONE-41
F0000	A0065	I0041	DISPOSIZIONE-42
F0000	A0065	I0042	DISPOSIZIONE-43
F0000	A0065	I0043	DISPOSIZIONE-44
F0000	A0065	I0044	DISPOSIZIONE-45
F0000	A0065	I0045	DISPOSIZIONE-46
F0000	A0086	I0000	ON LINE-01
F0000	A0086	I0001	ONLINE-02
F0000	A0086	I0002	ONLINE-03
F0000	A0086	I0003	ONLINE-04
F0000	A0086	I0004	ONLINE-05
F0000	A0086	I0005	ONLINE-06
F0000	A0086	I0006	ONLINE-07
F0000	A0086	I0007	ONLINE-08
F0000	A0086	I0008	ONLINE-09
F0000	A0086	I0009	ONLINE-10
F0000	A0086	I0010	ON LINE-11
F0000	A0086	I0011	ON LINE-12
F0000	A0086	I0012	ON LINE-13
F0000	A0087	I0000	PAL-01
F0000	A0087	I0001	PAL-02
F0000	A0087	I0002	PAL-03
F0000	A0088	I0000	SERVIZIO-01
F0000	A0088	I0001	SERVIZIO-02
F0000	A0088	I0002	SERVIZIO-03
F0000	A0088	I0003	SERVIZIO-04
F0000	A0088	I0004	SERVIZIO-05
