idlezione	durata	idgiorno	idora	idfoglio	idmateria	idsede	idmodulo
L0000000	60	-1	-1	F0000	M0028	S0002	U0000
L0000001	60	-1	-1	F0000	M0028	S0002	U0000
L0000002	60	-1	-1	F0000	M0028	S0002	U0000
L0000003	60	-1	-1	F0000	M0028	S0002	U0000
L0000004	60	-1	-1	F0000	M0028	S0002	U0000
L0000005	60	-1	-1	F0000	M0006	S0002	U0000
L0000006	60	-1	-1	F0000	M0047	S0002	U0000
L0000007	60	-1	-1	F0000	M0028	S0002	U0000
L0000008	60	-1	-1	F0000	M0037	S0001	U0000
L0000009	60	-1	-1	F0000	M0035	S0002	U0000
L0000010	60	-1	-1	F0000	M0051	S0002	U0000
L0000011	60	-1	-1	F0000	M0045	S0002	U0000
L0000012	60	-1	-1	F0000	M0047	S0002	U0000
L0000013	60	-1	-1	F0000	M0003	S0000	U0000
L0000014	60	-1	-1	F0000	M0028	S0002	U0000
L0000015	60	-1	-1	F0000	M0028	S0002	U0000
L0000016	60	-1	-1	F0000	M0028	S0002	U0000
L0000017	60	-1	-1	F0000	M0028	S0002	U0000
L0000018	60	-1	-1	F0000	M0028	S0002	U0000
L0000019	60	-1	-1	F0000	M0028	S0002	U0000
L0000020	60	-1	-1	F0000	M0028	S0002	U0000
L0000021	60	-1	-1	F0000	M0028	S0002	U0000
L0000022	60	-1	-1	F0000	M0018	S0002	U0000
L0000023	60	-1	-1	F0000	M0053	S0002	U0000
L0000024	60	-1	-1	F0000	M0045	S0001	U0000
L0000025	60	-1	-1	F0000	M0033	S0002	U0000
L0000026	60	-1	-1	F0000	M0045	S0002	U0000
L0000027	60	-1	-1	F0000	M0028	S0002	U0000
L0000028	60	-1	-1	F0000	M0028	S0002	U0000
L0000029	60	-1	-1	F0000	M0028	S0002	U0000
L0000030	60	-1	-1	F0000	M0028	S0002	U0000
L0000031	60	-1	-1	F0000	M0028	S0002	U0000
L0000032	60	-1	-1	F0000	M0035	S0002	U0000
L0000033	60	-1	-1	F0000	M0028	S0002	U0000
L0000034	60	-1	-1	F0000	M0028	S0002	U0000
L0000035	60	-1	-1	F0000	M0028	S0002	U0000
L0000036	60	-1	-1	F0000	M0021	S0002	U0000
L0000037	60	-1	-1	F0000	M0029	S0000	U0000
L0000038	60	-1	-1	F0000	M0053	S0002	U0000
L0000039	60	-1	-1	F0000	M0029	S0002	U0000
L0000040	60	-1	-1	F0000	M0028	S0002	U0000
L0000041	60	-1	-1	F0000	M0028	S0002	U0000
L0000042	60	-1	-1	F0000	M0019	S0000	U0000
L0000043	60	-1	-1	F0000	M0029	S0002	U0000
L0000044	60	-1	-1	F0000	M0015	S0002	U0000
L0000045	120	-1	-1	F0000	M0006	S0002	U0000
L0000046	60	-1	-1	F0000	M0038	S0002	U0000
L0000047	60	-1	-1	F0000	M0006	S0002	U0000
L0000048	60	-1	-1	F0000	M0028	S0002	U0000
L0000049	60	-1	-1	F0000	M0028	S0002	U0000
L0000050	60	-1	-1	F0000	M0028	S0002	U0000
L0000051	60	-1	-1	F0000	M0028	S0002	U0000
L0000052	60	-1	-1	F0000	M0028	S0002	U0000
L0000053	60	-1	-1	F0000	M0028	S0002	U0000
L0000054	60	-1	-1	F0000	M0018	S0002	U0000
L0000055	60	-1	-1	F0000	M0037	S0001	U0000
L0000056	60	-1	-1	F0000	M0018	S0002	U0000
L0000057	60	-1	-1	F0000	M0028	S0002	U0000
L0000058	60	-1	-1	F0000	M0028	S0002	U0000
L0000059	60	-1	-1	F0000	M0028	S0002	U0000
L0000060	60	-1	-1	F0000	M0028	S0002	U0000
L0000061	60	-1	-1	F0000	M0028	S0002	U0000
L0000062	60	-1	-1	F0000	M0007	S0002	U0000
L0000063	60	-1	-1	F0000	M0042	S0002	U0000
L0000064	60	-1	-1	F0000	M0045	S0002	U0000
L0000065	60	-1	-1	F0000	M0028	S0002	U0000
L0000066	60	-1	-1	F0000	M0028	S0002	U0000
L0000067	60	-1	-1	F0000	M0028	S0002	U0000
L0000068	60	-1	-1	F0000	M0028	S0002	U0000
L0000069	60	-1	-1	F0000	M0028	S0002	U0000
L0000070	60	-1	-1	F0000	M0028	S0002	U0000
L0000071	60	-1	-1	F0000	M0028	S0002	U0000
L0000072	60	-1	-1	F0000	M0028	S0002	U0000
L0000073	60	-1	-1	F0000	M0028	S0002	U0000
L0000074	60	-1	-1	F0000	M0028	S0002	U0000
L0000075	60	-1	-1	F0000	M0053	S0002	U0000
L0000076	60	-1	-1	F0000	M0031	S0002	U0000
L0000077	60	-1	-1	F0000	M0028	S0002	U0000
L0000078	60	-1	-1	F0000	M0028	S0002	U0000
L0000079	60	-1	-1	F0000	M0015	S0002	U0000
L0000080	120	-1	-1	F0000	M0036	S0002	U0000
L0000081	60	-1	-1	F0000	M0028	S0002	U0000
L0000082	60	-1	-1	F0000	M0028	S0002	U0000
L0000083	60	-1	-1	F0000	M0053	S0002	U0000
L0000084	60	-1	-1	F0000	M0033	S0002	U0000
L0000085	120	-1	-1	F0000	M0015	S0002	U0000
L0000086	120	-1	-1	F0000	M0055	S0002	U0000
L0000087	60	-1	-1	F0000	M0017	S0002	U0000
L0000088	60	-1	-1	F0000	M0028	S0002	U0000
L0000089	60	-1	-1	F0000	M0017	S0002	U0000
L0000090	60	-1	-1	F0000	M0027	S0002	U0000
L0000091	60	-1	-1	F0000	M0027	S0002	U0000
L0000092	60	-1	-1	F0000	M0028	S0002	U0000
L0000093	60	-1	-1	F0000	M0028	S0002	U0000
L0000094	60	-1	-1	F0000	M0028	S0002	U0000
L0000095	60	-1	-1	F0000	M0028	S0002	U0000
L0000096	60	-1	-1	F0000	M0028	S0002	U0000
L0000097	60	-1	-1	F0000	M0018	S0002	U0000
L0000098	60	-1	-1	F0000	M0019	S0000	U0000
L0000099	60	-1	-1	F0000	M0028	S0002	U0000
L0000100	60	-1	-1	F0000	M0028	S0002	U0000
L0000101	60	-1	-1	F0000	M0028	S0002	U0000
L0000102	60	-1	-1	F0000	M0028	S0002	U0000
L0000103	60	-1	-1	F0000	M0028	S0002	U0000
L0000104	60	-1	-1	F0000	M0028	S0002	U0000
L0000105	60	-1	-1	F0000	M0028	S0002	U0000
L0000106	60	-1	-1	F0000	M0028	S0002	U0000
L0000107	60	-1	-1	F0000	M0028	S0002	U0000
L0000108	60	-1	-1	F0000	M0028	S0002	U0000
L0000109	60	-1	-1	F0000	M0012	S0002	U0000
L0000110	60	-1	-1	F0000	M0045	S0002	U0000
L0000111	60	-1	-1	F0000	M0028	S0002	U0000
L0000112	60	-1	-1	F0000	M0028	S0002	U0000
L0000113	60	-1	-1	F0000	M0028	S0002	U0000
L0000114	60	-1	-1	F0000	M0028	S0002	U0000
L0000115	60	-1	-1	F0000	M0028	S0002	U0000
L0000116	60	-1	-1	F0000	M0017	S0002	U0000
L0000117	60	-1	-1	F0000	M0028	S0002	U0000
L0000118	60	-1	-1	F0000	M0015	S0002	U0000
L0000119	60	-1	-1	F0000	M0003	S0000	U0000
L0000120	120	-1	-1	F0000	M0036	S0002	U0000
L0000121	60	-1	-1	F0000	M0006	S0002	U0000
L0000122	60	-1	-1	F0000	M0035	S0002	U0000
L0000123	60	-1	-1	F0000	M0033	S0002	U0000
L0000124	60	-1	-1	F0000	M0028	S0002	U0000
L0000125	120	-1	-1	F0000	M0018	S0002	U0000
L0000126	60	-1	-1	F0000	M0045	S0001	U0000
L0000127	60	-1	-1	F0000	M0035	S0002	U0000
L0000128	60	-1	-1	F0000	M0018	S0002	U0000
L0000129	60	-1	-1	F0000	M0028	S0002	U0000
L0000130	60	-1	-1	F0000	M0028	S0002	U0000
L0000131	60	-1	-1	F0000	M0028	S0002	U0000
L0000132	60	-1	-1	F0000	M0028	S0002	U0000
L0000133	60	-1	-1	F0000	M0028	S0002	U0000
L0000134	60	-1	-1	F0000	M0028	S0002	U0000
L0000135	120	-1	-1	F0000	M0036	S0002	U0000
L0000136	60	-1	-1	F0000	M0028	S0002	U0000
L0000137	60	-1	-1	F0000	M0028	S0002	U0000
L0000138	60	-1	-1	F0000	M0028	S0002	U0000
L0000139	60	-1	-1	F0000	M0001	S0002	U0000
L0000140	60	-1	-1	F0000	M0047	S0002	U0000
L0000141	60	-1	-1	F0000	M0028	S0002	U0000
L0000142	60	-1	-1	F0000	M0051	S0002	U0000
L0000143	60	-1	-1	F0000	M0028	S0002	U0000
L0000144	60	-1	-1	F0000	M0028	S0002	U0000
L0000145	60	-1	-1	F0000	M0028	S0002	U0000
L0000146	60	-1	-1	F0000	M0028	S0002	U0000
L0000147	60	-1	-1	F0000	M0028	S0002	U0000
L0000148	60	-1	-1	F0000	M0028	S0002	U0000
L0000149	60	-1	-1	F0000	M0047	S0002	U0000
L0000150	60	-1	-1	F0000	M0029	S0002	U0000
L0000151	60	-1	-1	F0000	M0045	S0002	U0000
L0000152	60	-1	-1	F0000	M0028	S0002	U0000
L0000153	120	-1	-1	F0000	M0018	S0002	U0000
