idmateria	nomemateria	nomebrevemateria	codicemiur
M0000	ALTERNATIVA	ALTERNATIVA	(null)
M0001	COMPLEMENTI MATEMATICA	COMPLEMENTI MATEMATICA	(null)
M0002	DIRITTO ed ECONOMIA	DIRITTO ed ECONOMIA	(null)
M0003	DISEGNO PROG. ORG. IND.	DISEGNO PROG. ORG. IND.	(null)
M0004	DISEGNO PROG. ORG. IND. LAB	DISEGNO PROG. ORG. IND. LAB	(null)
M0005	DISPO	DISPO	(null)
M0006	ELETTRON. ELETTROTEC.	ELETTRON. ELETTROTEC.	(null)
M0007	ELETTRON. ELETTROTEC. AUT.	ELETTRON. ELETTROTEC. AUT.	(null)
M0008	ELETTRON. ELETTROTEC. AUT. LAB	ELETTRON. ELETTROTEC. AUT. LAB	(null)
M0009	ELETTRON. ELETTROTEC. LAB	ELETTRON. ELETTROTEC. LAB	(null)
M0010	GEOGRAFIA	GEOGRAFIA	(null)
M0011	GESTIONE PR. ORG. IMPR.	GESTIONE PR. ORG. IMPR.	(null)
M0012	GESTIONE PR. ORG. IMPR. LAB	GESTIONE PR. ORG. IMPR. LAB	(null)
M0013	IMP. ENER. DISEG. PROG.	IMP. ENER. DISEG. PROG.	(null)
M0014	IMP. ENER. DISEG. PROG. LAB	IMP. ENER. DISEG. PROG. LAB	(null)
M0015	INFORMATICA	INFORMATICA	(null)
M0016	INFORMATICA LAB	INFORMATICA LAB	(null)
M0017	INGLESE	INGLESE	(null)
M0018	LING. E LETT. ITALIANA	LING. E LETT. ITALIANA	(null)
M0019	LOGISTICA	LOGISTICA	(null)
M0020	LOGISTICA LAB	LOGISTICA LAB	(null)
M0021	MATEMATICA	MATEMATICA	(null)
M0022	MECC. MACCH. ENERGIA	MECC. MACCH. ENERGIA	(null)
M0023	MECC. MACCH. ENERGIA LAB	MECC. MACCH. ENERGIA LAB	(null)
M0024	MECCANICA E MACCHINE	MECCANICA E MACCHINE	(null)
M0025	MECCANICA E MACCHINE LAB	MECCANICA E MACCHINE LAB	(null)
M0026	RECUPERO_ORARIO	Nuova materia (1)	(null)
M0027	RELIGIONE	RELIGIONE	(null)
M0028	RICEVIMENTO	RICEVIMENTO	(null)
M0029	SC. NAVIG. STRUTT. COST.	SC. NAVIG. STRUTT. COST.	(null)
M0030	SC. NAVIG. STRUTT. COST. LAB	SC. NAVIG. STRUTT. COST. LAB	(null)
M0031	SCIEN. TERRA/BIOLOGIA	SCIEN. TERRA/BIOLOGIA	(null)
M0032	SCIENZE INT. CHIMICA	SCIENZE INT. CHIMICA	(null)
M0033	SCIENZE INT. CHIMICA LAB	SCIENZE INT. CHIMICA LAB	(null)
M0034	SCIENZE INT. FISICA	SCIENZE INT. FISICA	(null)
M0035	SCIENZE INT. FISICA LAB	SCIENZE INT. FISICA LAB	(null)
M0036	SCIENZE MOTORIE	SCIENZE MOTORIE	(null)
M0037	SCIENZE TECNOL. APPL.	SCIENZE TECNOL. APPL.	(null)
M0038	SISTEMI AUTOMATICI	SISTEMI AUTOMATICI	(null)
M0039	SISTEMI AUTOMATICI LAB	SISTEMI AUTOMATICI LAB	(null)
M0040	SISTEMI E AUTOMAZIONE	SISTEMI E AUTOMAZIONE	(null)
M0041	SISTEMI E AUTOMAZIONE LAB	SISTEMI E AUTOMAZIONE LAB	(null)
M0042	SISTEMI E RETI	SISTEMI E RETI	(null)
M0043	SISTEMI E RETI LAB	SISTEMI E RETI LAB	(null)
M0044	sostegno	sostegno	(null)
M0045	STORIA CITT. E COSTIT.	STORIA CITT. E COSTIT.	(null)
M0046	studio assistito	studio assistito	(null)
M0047	TECN. INFORMAT.	TECN. INFORMAT.	(null)
M0048	TECN. INFORMAT. LAB	TECN. INFORMAT. LAB	(null)
M0049	TECN. MECC. PROG. PROD.	TECN. MECC. PROG. PROD.	(null)
M0050	TECN. MECC. PROG. PROD. LAB	TECN. MECC. PROG. PROD. LAB	(null)
M0051	TECN. PROG. SIST. E.E.	TECN. PROG. SIST. E.E.	(null)
M0052	TECN. PROG. SIST. E.E. LAB	TECN. PROG. SIST. E.E. LAB	(null)
M0053	TECN. PROG. SIST. INF. TL	TECN. PROG. SIST. INF. TL	(null)
M0054	TECN. PROG. SIST. INF. TL LAB	TECN. PROG. SIST. INF. TL LAB	(null)
M0055	TECN. TEC. RAPP. GRAFICA	TECN. TEC. RAPP. GRAFICA	(null)
M0056	TECN. TEC. RAPP. GRAFICA LAB	TECN. TEC. RAPP. GRAFICA LAB	(null)
M0057	TELECOMUNICAZIONI	TELECOMUNICAZIONI	(null)
M0058	TELECOMUNICAZIONI LAB	TELECOMUNICAZIONI LAB	(null)
