idfoglio	idgiorno	idora	orainizio
F0000	0	0	8.00	8.50
F0000	0	1	8.50	9.50
F0000	0	2	9.50	10.45
F0000	0	3	10.55	11.50
F0000	0	4	11.50	12.45
F0000	0	5	12.55	13.50
F0000	0	6	13.50	14.40
F0000	1	0	8.00	8.50
F0000	1	1	8.50	9.50
F0000	1	2	9.50	10.45
F0000	1	3	10.55	11.50
F0000	1	4	11.50	12.45
F0000	1	5	12.55	13.50
F0000	1	6	13.50	14.40
F0000	2	0	8.00	8.50
F0000	2	1	8.50	9.50
F0000	2	2	9.50	10.45
F0000	2	3	10.55	11.50
F0000	2	4	11.50	12.45
F0000	2	5	12.55	13.50
F0000	2	6	13.50	14.40
F0000	3	0	8.00	8.50
F0000	3	1	8.50	9.50
F0000	3	2	9.50	10.45
F0000	3	3	10.55	11.50
F0000	3	4	11.50	12.45
F0000	3	5	12.55	13.50
F0000	3	6	13.50	14.40
F0000	4	0	8.00	8.50
F0000	4	1	8.50	9.50
F0000	4	2	9.50	10.45
F0000	4	3	10.55	11.50
F0000	4	4	11.50	12.45
F0000	4	5	12.55	13.50
F0000	4	6	13.50	14.40
