idlezione	idfoglio	idsettimana
L0000000	F0000	W0000
L0000001	F0000	W0000
L0000002	F0000	W0000
L0000003	F0000	W0000
L0000004	F0000	W0000
L0000005	F0000	W0000
L0000006	F0000	W0000
L0000007	F0000	W0000
L0000008	F0000	W0000
L0000009	F0000	W0000
L0000010	F0000	W0000
L0000011	F0000	W0000
L0000012	F0000	W0000
L0000013	F0000	W0000
L0000014	F0000	W0000
L0000015	F0000	W0000
L0000016	F0000	W0000
L0000017	F0000	W0000
L0000018	F0000	W0000
L0000019	F0000	W0000
L0000020	F0000	W0000
L0000021	F0000	W0000
L0000022	F0000	W0000
L0000023	F0000	W0000
L0000024	F0000	W0000
L0000025	F0000	W0000
L0000026	F0000	W0000
L0000027	F0000	W0000
L0000028	F0000	W0000
L0000029	F0000	W0000
L0000030	F0000	W0000
L0000031	F0000	W0000
L0000032	F0000	W0000
L0000033	F0000	W0000
L0000034	F0000	W0000
L0000035	F0000	W0000
L0000036	F0000	W0000
L0000037	F0000	W0000
L0000038	F0000	W0000
L0000039	F0000	W0000
L0000040	F0000	W0000
L0000041	F0000	W0000
L0000042	F0000	W0000
L0000043	F0000	W0000
L0000044	F0000	W0000
L0000045	F0000	W0000
L0000046	F0000	W0000
L0000047	F0000	W0000
L0000048	F0000	W0000
L0000049	F0000	W0000
L0000050	F0000	W0000
L0000051	F0000	W0000
L0000052	F0000	W0000
L0000053	F0000	W0000
L0000054	F0000	W0000
L0000055	F0000	W0000
L0000056	F0000	W0000
L0000057	F0000	W0000
L0000058	F0000	W0000
L0000059	F0000	W0000
L0000060	F0000	W0000
L0000061	F0000	W0000
L0000062	F0000	W0000
L0000063	F0000	W0000
L0000064	F0000	W0000
L0000065	F0000	W0000
L0000066	F0000	W0000
L0000067	F0000	W0000
L0000068	F0000	W0000
L0000069	F0000	W0000
L0000070	F0000	W0000
L0000071	F0000	W0000
L0000072	F0000	W0000
L0000073	F0000	W0000
L0000074	F0000	W0000
L0000075	F0000	W0000
L0000076	F0000	W0000
L0000077	F0000	W0000
L0000078	F0000	W0000
L0000079	F0000	W0000
L0000080	F0000	W0000
L0000081	F0000	W0000
L0000082	F0000	W0000
L0000083	F0000	W0000
L0000084	F0000	W0000
L0000085	F0000	W0000
L0000086	F0000	W0000
L0000087	F0000	W0000
L0000088	F0000	W0000
L0000089	F0000	W0000
L0000090	F0000	W0000
L0000091	F0000	W0000
L0000092	F0000	W0000
L0000093	F0000	W0000
L0000094	F0000	W0000
L0000095	F0000	W0000
L0000096	F0000	W0000
L0000097	F0000	W0000
L0000098	F0000	W0000
L0000099	F0000	W0000
L0000100	F0000	W0000
L0000101	F0000	W0000
L0000102	F0000	W0000
L0000103	F0000	W0000
L0000104	F0000	W0000
L0000105	F0000	W0000
L0000106	F0000	W0000
L0000107	F0000	W0000
L0000108	F0000	W0000
L0000109	F0000	W0000
L0000110	F0000	W0000
L0000111	F0000	W0000
L0000112	F0000	W0000
L0000113	F0000	W0000
L0000114	F0000	W0000
L0000115	F0000	W0000
L0000116	F0000	W0000
L0000117	F0000	W0000
L0000118	F0000	W0000
L0000119	F0000	W0000
L0000120	F0000	W0000
L0000121	F0000	W0000
L0000122	F0000	W0000
L0000123	F0000	W0000
L0000124	F0000	W0000
L0000125	F0000	W0000
L0000126	F0000	W0000
L0000127	F0000	W0000
L0000128	F0000	W0000
L0000129	F0000	W0000
L0000130	F0000	W0000
L0000131	F0000	W0000
L0000132	F0000	W0000
L0000133	F0000	W0000
L0000134	F0000	W0000
L0000135	F0000	W0000
L0000136	F0000	W0000
L0000137	F0000	W0000
L0000138	F0000	W0000
L0000139	F0000	W0000
L0000140	F0000	W0000
L0000141	F0000	W0000
L0000142	F0000	W0000
L0000143	F0000	W0000
L0000144	F0000	W0000
L0000145	F0000	W0000
L0000146	F0000	W0000
L0000147	F0000	W0000
L0000148	F0000	W0000
L0000149	F0000	W0000
L0000150	F0000	W0000
L0000151	F0000	W0000
L0000152	F0000	W0000
L0000153	F0000	W0000
L0000154	F0000	W0000
L0000155	F0000	W0000
L0000156	F0000	W0000
L0000157	F0000	W0000
L0000158	F0000	W0000
L0000159	F0000	W0000
L0000160	F0000	W0000
L0000161	F0000	W0000
L0000162	F0000	W0000
L0000163	F0000	W0000
L0000164	F0000	W0000
L0000165	F0000	W0000
L0000166	F0000	W0000
L0000167	F0000	W0000
L0000168	F0000	W0000
L0000169	F0000	W0000
L0000170	F0000	W0000
L0000171	F0000	W0000
L0000172	F0000	W0000
L0000173	F0000	W0000
L0000174	F0000	W0000
L0000175	F0000	W0000
L0000176	F0000	W0000
L0000177	F0000	W0000
L0000178	F0000	W0000
L0000179	F0000	W0000
L0000180	F0000	W0000
L0000181	F0000	W0000
L0000182	F0000	W0000
L0000183	F0000	W0000
L0000184	F0000	W0000
L0000185	F0000	W0000
L0000186	F0000	W0000
L0000187	F0000	W0000
L0000188	F0000	W0000
L0000189	F0000	W0000
L0000190	F0000	W0000
L0000191	F0000	W0000
L0000192	F0000	W0000
L0000193	F0000	W0000
L0000194	F0000	W0000
L0000195	F0000	W0000
L0000196	F0000	W0000
L0000197	F0000	W0000
L0000198	F0000	W0000
L0000199	F0000	W0000
L0000200	F0000	W0000
L0000201	F0000	W0000
L0000202	F0000	W0000
L0000203	F0000	W0000
L0000204	F0000	W0000
L0000205	F0000	W0000
L0000206	F0000	W0000
L0000207	F0000	W0000
L0000208	F0000	W0000
L0000209	F0000	W0000
L0000210	F0000	W0000
L0000211	F0000	W0000
L0000212	F0000	W0000
L0000213	F0000	W0000
L0000214	F0000	W0000
L0000215	F0000	W0000
L0000216	F0000	W0000
L0000217	F0000	W0000
L0000218	F0000	W0000
L0000219	F0000	W0000
L0000220	F0000	W0000
L0000221	F0000	W0000
L0000222	F0000	W0000
L0000223	F0000	W0000
L0000224	F0000	W0000
L0000225	F0000	W0000
L0000226	F0000	W0000
L0000227	F0000	W0000
L0000228	F0000	W0000
L0000229	F0000	W0000
L0000230	F0000	W0000
L0000231	F0000	W0000
L0000232	F0000	W0000
